mail	birthdate	registration	blood_group	company	username	user_id	ssn	residence	name	job	current_location	station_ID
alicevasconcelos@bol.com.br	2014-05-22	03 Jul 2022	B+	Cavalcanti S/A	theo31	763	38671502902		Yuri Mendonça		(Decimal('75.5622165'), Decimal('140.611314'))	705
carla33@hotmail.com		2019-02-19	AB-	Buck-Brown	donald76	571	648-52-7110		Amanda Douglas		(Decimal('56.355046'), Decimal('-31.498637'))	387
julie13@yahoo.com		18 Apr 2023	B+	Acosta-Black	diazrhonda	1368	472-71-8574		Jordan Shea		(Decimal('77.9571885'), Decimal('-141.860092'))	593
murakamishota@hotmail.com		2021-05-31	A+	加藤農林合同会社	nanamiinoue	1011	156-44-9296		伊藤 修平	高等学校教員	(Decimal('5.799277'), Decimal('58.160125'))	429
mauro58@gmail.com		2021-10-19	A-	Ferragni-Rapisardi SPA	gaetanoboito	1662	CMMSYV42C16A763E		Sig. Atenulf Polani		(Decimal('78.8543295'), Decimal('-101.613684'))	388
marcela18@gmail.com		2024/06/19	B+	das Neves	cmendes	508	37012564970		Thiago das Neves	Barbeiro	(Decimal('-18.8152915'), Decimal('87.991714'))	599
ruthildscheibe@hotmail.de		2023-02-08	O+	Eberhardt Hornig e.V.	geiseljuliane	2023	725-48-1925		Annegrete Ruppersberger		(Decimal('-21.4924505'), Decimal('-132.640635'))	662
cunhafrancisco@hotmail.com	2012-09-18	2023/06/12	O+	Sá e Filhos	lopescarolina	998	78264130950		Ana Luiza Leão	Produtor de eventos	(Decimal('-26.023901'), Decimal('-85.321841'))	255
aokiyasuhiro@hotmail.com		2019-10-10	A+	株式会社林情報	kumikoyamada	1837	468-93-8484		山口 陽子	配管工		743
ytakahashi@gmail.com	1987-03-22	2023-08-14	AB+	株式会社小林電気	ryoshida	449	229-73-7105		藤田 充	ゲームクリエイター	(Decimal('56.544886'), Decimal('51.671920'))	549
yasuhiro78@yahoo.com		01/17/2019, 00:00:00	A+	森運輸有限会社	satojun	2064	403-45-1343		池田 幹		(Decimal('-18.4769235'), Decimal('-78.685278'))	33
rikeda@gmail.com		11/01/2023, 00:00:00	AB+	有限会社藤原通信	nsato	916	413-62-8701		高橋 知実		(Decimal('-39.9158195'), Decimal('2.791640'))	643
yrodrigues@yahoo.com.br	1985-10-13	2023/11/28	AB+	Marques Barros S/A	livia01	391	42903567883		Luana Moreira		(Decimal('-33.7658065'), Decimal('168.257791'))	213
calogero92@poste.it		2019/11/05	A-	Borroni, Benedetti e Mazzeo s.r.l.	pieropapetti	546	CRLSIA80A07I337F		Flavio Sauli		(Decimal('-70.8407955'), Decimal('178.280442'))	59
andreafranke@aol.de		2020-10-15	AB-	Speer AG & Co. KGaA	schmiedeckegrit	1920	293-87-3023		Dipl.-Ing. Waltrud Zahn	Chemikant	(Decimal('57.660382'), Decimal('-37.527128'))	304
satokyosuke@hotmail.com		07 Aug 2023	B+	中島建設株式会社	moriyosuke	1062	820-68-1666		中島 陽子	航海士	(Decimal('-42.7437295'), Decimal('16.360632'))	737
gael-henriqueda-rosa@uol.com.br	1921-02-03	2022-06-24	O-	Garcia Gomes e Filhos	gfernandes	1385	70859312640		Enzo Gabriel Souza		(Decimal('39.9746555'), Decimal('-22.105200'))	72
virginia99@libero.it	1989-03-12	2024-03-17	B+	Germano, Asmundo e Montecchi e figli	ptoscanini	187	VNVGNR51T54I291K		Sophia Turati		(Decimal('11.971067'), Decimal('-6.033580'))	603
vitor-hugovargas@uol.com.br	1913-11-28	2022-10-26	AB-	Sá Silveira S.A.	ianda-rocha	21	41265837007		Davi Luiz Nascimento	Engenheiro agrimensor	(Decimal('-6.188542'), Decimal('122.782415'))	117
suzukishota@hotmail.com		08/31/2022, 00:00:00	B+	佐々木ガス株式会社	satojun	489	233-88-8995		阿部 くみ子		(Decimal('-53.4158245'), Decimal('-25.243451'))	744
satomi13@yahoo.com	1969-12-13	27 Aug 2023	A+	佐藤ガス合同会社	sayuri42	70	162-74-0756		伊藤 智也	エンジニア演奏家	(Decimal('39.168733'), Decimal('143.023794'))	196
wwatanabe@gmail.com	1954-06-21	2023/05/14	AB-	佐藤食品株式会社	nakamuramiki	1299	060-97-3576		藤原 康弘	ウェブデザイナー	(Decimal('59.815979'), Decimal('54.829189'))	148
